title,link,date,content
"Cerita Riko dan Rizal, 4 Tahun Gowes Bareng 300 Km Lampung-Serang Demi Lebaran",https://regional.kompas.com/read/2025/04/04/180833378/cerita-riko-dan-rizal-4-tahun-gowes-bareng-300-km-lampung-serang-demi,4 April 2025,"LAMPUNG, KOMPAS.com - Keringat membasahi wajah Riko (34) dan Rizal (36) saat mereka mengayuh sepeda di area parkir dermaga Pelabuhan Bakauheni, Jumat (4/4/2025) siang. Kedua pria yang masih berkerabat ini, sedang dalam perjalanan pulang menuju Serang, Banten, setelah berlebaran bersama keluarga di Kemiling, Bandar Lampung. Perjalanan sejauh ratusan kilometer dari Serang ke Bandar Lampung tidaklah mudah. Namun bagi mereka, mudik dengan sepeda adalah tradisi tahunan yang selalu mereka nantikan, meski penuh tantangan. ""Sudah empat tahun kami mudik dengan sepeda. Capek pasti, tapi rasa senangnya lebih besar,"" ujar Riko dengan senyuman lelah, yang membuktikan bahwa perjalanan jauh ini memang tak mudah. Bagi sebagian orang, mudik mungkin berarti duduk nyaman di kendaraan pribadi atau angkutan umum, tetapi tidak bagi Riko dan Rizal. Bagi mereka, mudik adalah petualangan. Mereka menempuh jarak 300 kilometer dengan waktu tempuh sehari semalam, melewati tanjakan demi tanjakan, menantang terik matahari dan hujan deras, demi bisa berkumpul dengan keluarga di Kemiling, Bandar Lampung. Setiap tahunnya, sebelum berangkat, mereka selalu menyiapkan fisik dengan latihan untuk memastikan stamina tetap prima selama perjalanan panjang ini. Bersepeda sejauh itu memang tidak mudah. Selain itu, mereka juga membawa perlengkapan yang mereka anggap penting, seperti jas hujan yang terikat rapi di belakang sepeda, lampu penerangan untuk perjalanan malam, dan sedikit pakaian ganti. ""Kami tidak membawa banyak barang, hanya yang penting saja. Yang terpenting adalah bisa sampai dengan selamat,"" kata Rizal. Perjalanan mudik dengan sepeda ini mereka tempuh dalam waktu sehari semalam. Di tengah perjalanan, mereka beristirahat sejenak di beberapa titik perhentian untuk makan dan melepas lelah. Saat rasa lelah mulai menggerogoti tubuh, mereka hanya mengingat satu tujuan: merayakan Lebaran bersama keluarga tercinta. “Begitu masuk Pelabuhan Merak dan melihat kapal, rasanya separuh perjalanan sudah selesai. Itu momen yang selalu kami tunggu,” kata Riko sambil tersenyum, mengenang perjalanan yang sudah separuhnya terlewati. Setelah menyeberang dengan kapal feri, perjalanan masih berlanjut. Jalanan berbukit di Lampung menjadi tantangan tersendiri. Namun semangat mereka tak pernah surut. "
"Mudik Lebaran Kayuh Sepeda 150 Kilometer Bandung-Kuningan, Yusuf: Lebih Sehat, Enggak Stres",https://bandung.kompas.com/read/2025/04/03/180529978/mudik-lebaran-kayuh-sepeda-150-kilometer-bandung-kuningan-yusuf-lebih-sehat,3 April 2025,"SUMEDANG, KOMPAS.com - Nurdin Yusuf (31), warga Dusun Puhun, Desa Kaduagung, Kecamatan Sindangagung, Kabupaten Kuningan, Jawa Barat, menunjukkan semangat yang luar biasa saat mengayuh sepeda lebih dari 100 kilometer. Pada Kamis (3/4/2025), Yusuf tengah dalam perjalanan dari kampung halamannya di Kuningan menuju Cicaheum, Kota Bandung. Kompas.com menemui Yusuf di kawasan Cadas Pangeran, Kecamatan Pamulihan, Kabupaten Sumedang. ""Dari Kuningan mau balik ke tempat kerja di Cicaheum, Bandung. Kemarin mudik ke Kuningan juga pakai sepeda,"" ungkap Yusuf kepada Kompas.com. Yusuf menjelaskan bahwa ia memilih mudik Lebaran dengan sepeda karena merasa lebih sehat dan terhindar dari kemacetan. ""Pakai sepeda lebih sehat, enggak stres karena macet juga. Ngayuhnya santai aja, biar gak kerasa capeknya,"" tambahnya. Perjalanan mudik dari Cicaheum ke Kuningan menghabiskan waktu hingga 8 jam. ""Jarak yang ditempuh sekitar 150 kilometer, sekitar 8 jam perjalanan. Sesekali istirahat untuk shalat atau isi ulang air,"" jelas ayah dari seorang anak ini. Beban yang dibawa Yusuf di sepedanya hanya sekitar 10 kilogram, yang terdiri dari pakaian dan perlengkapan mandi. Ia mengaku telah melakukan perjalanan mudik sebanyak dua kali pada Lebaran, sejak Idulfitri tahun 2024 lalu. ""Sudah dua kali Lebaran mudik pakai sepeda. Ketagihan, gak kerasa capek. Ya kesannya itu, mudik pakai sepeda lebih sehat, enggak stres karena kena macet di jalan juga,"" ujar Yusuf. Yusuf menambahkan bahwa ia melakukan perjalanan mudik Lebaran seorang diri. Sementara istri dan anaknya tinggal di Kuningan. ""Sendiri, istri sama anak mah tinggal di Kuningan,"" kata Yusuf.  "
"Lewati Puncak Mudik, ASDP Tutup Layanan Sepeda Motor dari Ciwandan Mulai 30 Maret",https://money.kompas.com/read/2025/03/30/163000426/lewati-puncak-mudik-asdp-tutup-layanan-sepeda-motor-dari-ciwandan-mulai-30,30 Maret 2025,"MERAK, KOMPAS.com – PT ASDP Indonesia Ferry (Persero) resmi menutup layanan penyeberangan bagi kendaraan roda dua dari Pelabuhan Ciwandan mulai Minggu (30/3/2025) pukul 12.00 WIB. Keputusan ini diambil seiring dengan menurunnya volume pemudik sepeda motor pada lintasan Merak-Bakauheni pasca puncak arus mudik Lebaran 2025. Pelaksanaan angkutan Lebaran tahun ini secara umum berjalan lancar, aman, nyaman, dan terkendali. ASDP bersama seluruh pemangku kepentingan terus melakukan perbaikan layanan untuk memastikan kelancaran arus balik. Direktur Utama ASDP, Heru Widodo, mengapresiasi seluruh pihak yang telah mendukung kelancaran arus mudik, termasuk regulator Kementerian Perhubungan, Kepolisian Republik Indonesia, mitra kerja penyeberangan, dan media massa. Berdasarkan data Posko Merak, jumlah kendaraan roda dua yang menyeberang dari Ciwandan ke Sumatera pada Sabtu (29/3/2025) atau H-2 Lebaran mencapai 23.264 unit.   Heru Widodo, menyatakan bahwa koordinasi dan kolaborasi yang baik menjadi kunci sukses dalam penyelenggaraan angkutan Lebaran 2025. “Kami bersyukur dapat melayani masyarakat dengan aman dan lancar, meskipun terjadi antrean saat puncak arus mudik. Ke depannya, kami akan terus meningkatkan kualitas layanan agar arus balik juga berjalan dengan baik,” ujarnya, melalui keterangan pers, Minggu (30/3/2025). Secara keseluruhan, dari H-10 hingga H-2 Lebaran, total penumpang yang menyeberang dari Jawa ke Sumatera mencapai 833.404 orang, naik tujuh persen dibandingkan tahun lalu. Sementara itu, total kendaraan yang telah menyeberang tercatat sebanyak 193.522 unit atau meningkat lima persen dibandingkan periode yang sama tahun lalu. ASDP mengimbau para pemudik untuk selalu mengikuti informasi terkini terkait layanan penyeberangan melalui aplikasi Ferizy atau kanal resmi ASDP guna memastikan kelancaran perjalanan arus balik. "
"Tiba di Bakauheni Malam, Ratusan Pemudik Bermotor Dikawal Polisi Lintasi Jalinsum",https://regional.kompas.com/read/2025/03/28/014845478/tiba-di-bakauheni-malam-ratusan-pemudik-bermotor-dikawal-polisi-lintasi,28 Maret 2025,"LAMPUNG, KOMPAS.com - Ratusan pemudik sepeda motor dikawal polisi melintasi Jalan Lintas Sumatera (Jalinsum) pada malam hari di Lampung Selatan. Pengawalan ini dilakukan untuk memastikan para pemudik tiba di tujuan mereka dengan selamat saat melintas di wilayah rawan. Pantauan Kompas.com pada Jumat (28/3/2025) dini hari, para pemudik pesepeda motor itu tiba di Dermaga 4 dan 5 Pelabuhan Bakauheni. Para pemudik ini lalu dikumpulkan di area parkir dermaga setelah kapal yang tiba dari Pelabuhan Ciwandan (Banten) sandar. Setelah berkumpul, para pemudik ini dikawal oleh petugas Satlantas Polres Lampung Selatan menyusuri Jalinsum. Kapolres Lampung Selatan AKBP Yusriandi Yusrin mengatakan, total sepeda motor yang dikawal mencapai 838 unit. ""Kita kawal supaya menghindari kejadian yang tidak diinginkan saat menuju tujuan mereka,"" kata Yusriandi, Jumat dini hari. Skema pengawalan ini dilakukan secara estafet mulai dari Pelabuhan Bakauheni ke polsek terdekat hingga ke perbatasan Lampung Selatan-Bandar Lampung. Dia menambahkan, pengawalan ini dilakukan mengingat Jalinsum di wilayah Lampung Selatan minim penerangan dan ada beberapa wilayah yang rawan kecelakaan. Salah satu pemudik, Djumari, mengaku sangat senang bisa dikawal oleh polisi untuk melintasi Jalinsum tersebut. ""Sengaja jalan malam biar nggak panas, tapi lewat Jalinsum memang agak khawatir, untung dikawal dan ramean,"" kata dia. Pemudik lainnya, Saputra, yang mudik dari Bogor juga mengaku lega bisa melewati Jalinsum yang terkenal rawan. ""Alhamdulillah, bisa dikawal sampai ke Bandar Lampung. Mau ke rumah saudara dahulu, baru besok pagi lanjut ke Tulang Bawang,"" kata dia. "
"Kisah Jeni, Mudik Bersepeda Banten-Purbalingga karena Tak Kebagian Tiket Kereta",https://regional.kompas.com/read/2025/03/26/174544578/kisah-jeni-mudik-bersepeda-banten-purbalingga-karena-tak-kebagian-tiket,26 Maret 2025,"LEBAK, KOMPAS.com - Seorang warga bernama Jeni Abdurokhim (28) memilih mudik menggunakan sepeda ke Purbalingga, Jawa Tengah. Jeni berangkat dari Rangkasbitung, Kabupaten Lebak, Banten, menggunakan sepeda karena tidak kebagian tiket kereta. Pegawai di sebuah kementerian ini sudah berangkat dari Rangkasbitung, Lebak, pada Selasa (25/3/2025) sore, dan kini dia sudah sampai di Pamanukan, Subang, Jawa Barat. ""Berangkat kemarin, melalui jalur utara,"" kata Jeni kepada Kompas.com melalui sambungan telepon, Rabu (26/3/2025). Jeni bercerita, dia memutuskan mudik menggunakan sepeda setelah beberapa kali gagal memesan tiket kereta. Saat tiket kereta dibuka bulan lalu, dia sempat ikut war, tetapi tidak kebagian. Awalnya, Jeni juga sempat akan memilih untuk naik bus, tetapi niat tersebut diurungkan karena khawatir akan terjebak macet di jalan. ""Akhirnya memutuskan naik sepeda karena tidak banyak bawa barang juga, jadi lebih santai,"" kata Jeni. Dia melakukan persiapan sekitar satu minggu untuk mudik menggunakan sepeda, mulai dari servis sepeda yang akan digunakan, olahraga ringan, hingga mengontak komunitas sepeda di sepanjang jalur yang akan dilalui. ""Alhamdulillah direspons baik oleh rekan-rekan komunitas sepeda di Tangerang dan tadi malam menginap di markas komunitas sepeda di Karawang,"" cerita dia.   Di samping itu, Jeni juga mengaku sudah terbiasa bersepeda jarak jauh sehingga perjalanan ini bukan hal baru baginya. Namun, hal ini tetap spesial karena dilakukan dalam momen mudik Lebaran. Jeni menargetkan akan sampai di kampung halamannya di Purbalingga pada Jumat, 28 Maret, atau Kamis malam hari sebelumnya.  "
Feldani Atlet Sepeda Gunung Indonesia Juara Umum Kelas Downhill di Amerika Serikat,https://bola.kompas.com/read/2025/03/24/22050098/feldani-atlet-sepeda-gunung-indonesia-juara-umum-kelas-downhill-di-amerika,24 Maret 2025,"KOMPAS.com - Pembalap sepeda gunung downhill asal Indonesia, Feldani Effendy (48) memenangi juara umum dikelas umur 40-49 setelah mendominasi balapan sebanyak total 6 seri di kejuaraan Southridge Winter Series 2025 dengan total poin sebanyak 575. Peringkat kedua dan tiga diraih pembalap asal Amerika Serikat, Eric O’Neill dan Steven Kammerer dengan poin masing-masing 470 dan 445. Feldani mengakhiri seri balap musim dinginnya dengan berhasil menggondol juara 1 pada seri 1,2,3 dan 5. Pada seri ke-4 finis ke-3 yang seharusnya dia juga bisa memenangkan balapan tersebut tetapi sangat disayangkan harus turun posisi ketiga karena jump start (nyolong start) dan diganjar penalti waktu 1 menit. Seri terakhir atau ke-6 merupakan seri yang tidak perlu dipush dan menduduki posisi ke-4. Hal tersebut tidak merubah posisi pimpinan klasemen sehingga berhak meraih juara umum dengan tautan poin yang sangat siknifikan dengan pembalap runner up. “Awalnya tidak berharap akan menjadi juara umum. Karena ini merupakan tahun pertama pembelajaran mengikuti seri downhill musim dingin di California. Tetapi pada saat berhasil memenangkan seri pertama timbul kepercayaan diri untuk menjaga konsistensi hingga berhasil menang berturut-turut pada tiga seri pertama,” jelas Feldani. “Karena ini seri saat musim dingin jadi tantangannya bukan hanya dilintasan tetapi cuaca yang ekstrim. Seperti saat seri pertama angin dingin sangat kencang sekali sehingga laju sepeda sempat liar susah dikendalikan karena hempasan angin dari samping. Dua minggu selanjutnya pada seri kedua tantangan alam yang berbeda yaitu turun hujan sehingga pandangan lumayan terganggu,” lanjut Feldani. Lintasan yang menantang dipenuhi batu-batuan dengan jenis tanah yang berpasir belum lagi turunannya yang cukup terjal mengakibatkan balapan berjalan menegangkan bagi seluruh pembalap. Seri balap Southridge Downhill sudah berlangsung selama 33 tahun dan setiap tahunnya menyelenggarakan 2 musim balap yaitu dimusim dingin (winter) dan dimusim gugur (fall). 2 musim itu digunakan para pembalap Pro untuk tetap kompetitif pada saat mereka diluar musim pro-nya (off season). “Pengalaman yang luar biasa berkompetisi bersama para rider dari Amerika Serikat yang banyak melahirkan pembalap-pembalap elit dunia,” terang Feldani. “Saya banyak belajar bagaimana mereka bisa mengembangkan kecepatan sekaligus pengambilan racing line yang lebih efisien sehingga bisa menghasilkan catatan waktu yang lebih baik.” “Hasil balap ini saya persembahkan bagi negara asal saya Indonesia. Dan semoga bisa menjadi salah satu berita baik buat masyarakat Indonesia.” “Kedepannya saya akan terus mengikuti balapan balapan di Amerika Serikat terutama untuk seri musim gugur yang akan diselenggarakan sekitar bulan September hingga November.” “Balapan selanjutnya tentu akan lebih menantang karena saya akan menjadi juara bertahan dan menjadi target untuk dikalahkan. Maka dari itu persiapan harus lebih baik lagi bukan hanya persiapan fisik tetapi persiapan manajemen logistik yang lebih rapih lagi. Tentu saya tidak menutup kemungkinan menerima dukungan-dukungan apapun itu dari berbagai pihak untuk membuat musim balap selanjutnya sebagai juara bertahan tidak direbut oleh pembalap lain,” tutur Feldani  "
Korlantas Polri Imbau Mudik Aman Tanpa Sepeda Motor,https://otomotif.kompas.com/read/2025/03/24/062200415/korlantas-polri-imbau-mudik-aman-tanpa-sepeda-motor,24 Maret 2025,"JAKARTA, KOMPAS.com – Kepala Korps Lalu Lintas (Korlantas) Polri Irjen Pol Agus Suryonugroho mengungkapkan sejumlah manfaat mudik tanpa sepeda motor. Kakorlantas Polri Irjen Pol Agus Suryonugroho mengatakan pemudik pada dasarnya tidak dilarang menggunakan sepeda motor. Namun, alangkah baiknya apabila mudik dilaksanakan dengan memanfaatkan moda transportasi atau layanan mudik lainnya.   “Kami tidak melarang pemudik naik motor, tapi hanya mengimbau. Oleh sebab itu, cara bertindak untuk melayani kendaraan yang roda dua ini menjadi prioritas,” ujar Agus, dilansir dari laman Korlantas Polri (23/3/2025). Agus merekomendasikan agar masyarakat yang hendak menggunakan sepeda motor untuk memanfaatkan program mudik gratis yang diselenggarakan pemerintah maupun BUMN. Sementara itu, imbauan agar masyarakat lebih memilih moda transportasi lainnya dalam mudik itu guna meminimalisir angka kecelakaan lalu lintas, di mana kendaraan roda dua paling banyak terlibat. “Karena tahun lalu saat mudik 2024, kecelakaan terbanyak saat operasi ketupat, 75 persen adalah roda dua. Ini yang harus kita layani betul, tempat dari tempat harus kita kawal,” ucap Agus. Ia juga menyarankan masyarakat yang terbiasa mudik menggunakan motor untuk bisa beralih memanfaatkan program mudik gratis atau memanfaatkan layanan Valet & Ride yang disediakan Polri di jalur Jawa Tengah. Melalui layanan ini, pengendara motor yang lelah bisa menitipkan motor ke truk dan beralih ke bus, kemudian secara bersama melanjutkan perjalanan hingga ke kampung halaman. “Kami mengimbau kepada pemudik motor atau kendaraan roda dua untuk bisa memanfaatkan layanan Valet & Ride,” kata dia.  "
"Tabrakan Frontal Dua Motor di Blitar, Ibu dan Anak Perempuannya Meninggal",https://surabaya.kompas.com/read/2025/03/19/221829278/tabrakan-frontal-dua-motor-di-blitar-ibu-dan-anak-perempuannya-meninggal,19 Maret 2025,"BLITAR, KOMPAS.com – Kecelakaan tragis terjadi di Jalan Umum Desa Kaulon, Kecamatan Sutojayan, Kabupaten Blitar, Jawa Timur, Rabu (19/3/2025). Seorang perempuan berinisial OT (34) dan anak perempuannya yang berusia 4 tahun, CAW, tewas dalam insiden tersebut. Kepala Seksi Humas Polres Blitar, Ipda Putut Siswahyudi, menjelaskan bahwa kecelakaan terjadi ketika sepeda motor yang dikemudikan OT dengan CAW sebagai penumpang, kehilangan kendali dan menabrak sepeda motor lain yang melaju dari arah berlawanan. “Korban OT kehilangan kendali sepeda motornya, oleng ke kanan dan menabrak sepeda motor lain yang dari arah berlawanan,” ujar Putut saat dikonfirmasi Kompas.com melalui sambungan telepon, Rabu malam. Pengendara sepeda motor lainnya yang terlibat dalam kecelakaan itu adalah Valencia Putri (19), warga Desa Ngadri, Kecamatan Binangun. Meskipun mengalami luka ringan, Valencia harus menjalani perawatan di rumah sakit terdekat. Menurut Putut, baik OT maupun CAW, yang merupakan warga Desa Sebeng, Kecamatan Kesamben, Kabupaten Blitar, mengalami luka parah pada bagian kepala dan dinyatakan meninggal dunia setelah pemeriksaan medis di RSUD Mardi Waluyo, Kota Blitar. Putut menambahkan bahwa OT mengenakan helm pengaman saat kecelakaan terjadi, sementara anaknya tidak. Insiden tersebut berawal saat OT mengendarai sepeda motor jenis Yamaha X-Ride dari arah barat ke timur. Di lokasi kejadian yang menurun, sepeda motor yang dikemudikan OT oleng ke kanan dan menabrak sepeda motor Honda Vario yang dikemudikan Valencia dari timur ke barat. “Jadi titik benturan ada di lajur selatan dari jalan. Artinya, sepeda motor yang dikemudikan OT mengambil lajur kendaraan dari lawan arah,” ujarnya. Putut mengaku belum mengetahui penyebab pasti hilangnya kendali pada sepeda motor yang dikemudikan OT. “Sementara informasi yang kami dapatkan hanya seperti itu. Apa penyebab motor korban oleng, apakah karena kecepatan tinggi atau hal lain, saat ini belum jelas,” pungkasnya. "
"Pencuri di Lampung Ungkap Jenis Sepeda Motor yang Sering ""Dipesan""",https://regional.kompas.com/read/2025/03/14/121928778/pencuri-di-lampung-ungkap-jenis-sepeda-motor-yang-sering-dipesan,14 Maret 2025,"LAMPUNG, KOMPAS.com - Seorang pencuri kambuhan di Lampung mengungkapkan jenis sepeda motor yang sering dipesan untuk dicuri. Residivis bernama Wahyu Saputra (24) itu mengatakan jenis sepeda motor yang dimaksud adalah Honda Beat dan variannya. Menurutnya, sepeda motor merek tersebut banyak peminatnya dan harga jualnya masih tinggi. Selain itu, jika tidak ada kunci tambahan, sepeda motor jenis ini mudah untuk dirusak. Warga Lampung Tengah ini mengeklaim bahwa dia baru mencuri setelah ada orang yang memesan. ""Kalau ada yang pesan, saya baru metik (mencuri),"" kata dia di Mapolresta Bandar Lampung, Jumat (14/3/2025). Wahyu sendiri ditangkap setelah mencuri motor di sebuah Kantor Konsultan di Jalan Rajabasa, Kecamatan Way Halim pada Jumat (7/3/2025) sekitar pukul 15.10 WIB. Dia mengaku mendapat pesanan dari seseorang yang meminta dicarikan sepeda motor. Dia lalu berangkat ke Bandar Lampung dengan menumpang bus. Wakapolresta Bandar Lampung, AKBP Erwin Irawan, mengatakan tersangka mencuri motor dengan modus merusak kunci kontak motor menggunakan kunci letter T. ""Tersangka ini datang ke Bandar Lampung naik bus untuk mencuri motor, lalu dijual ke Lampung Tengah,"" katanya. ""Jadi sistemnya ada yang order, ketika ada yang minta motor, tersangka berangkat ke Bandar Lampung untuk mencari motor,"" tambahnya. Dengan melihat mudahnya pelaku pencurian merusak kunci setang dan starter sepeda motor, Erwin mengimbau agar warga lebih waspada. Bahkan, jika perlu, berikan kunci tambahan atau alarm agar terhindar dari pencurian tersebut. "
"Diduga APILL Eror, Motor dan Truk Adu Banteng di Persimpangan Jalan",https://otomotif.kompas.com/read/2025/03/11/171200015/diduga-apill-eror-motor-dan-truk-adu-banteng-di-persimpangan-jalan,11 Maret 2025,"SOLO, KOMPAS.com - Belakangan ini beredar video di media sosial yang menunjukkan Alat Pemberi Isyarat Lalu Lintas (APILL) menyala tidak berurutan. Setelah lampu merah menyala, lampu kuning tidak menyala justru langsung hijau. Akibatnya, truk yang sedang melaju kencang tidak bisa berhenti. Setelah itu, dari persimpangan jalan melaju sepeda motor dan menabrak truk tersebut. Melansir akun Instagram @bng.tyb, Selasa (11/3/2025) video tersebut merupakan hasil rekaman CCTV di Perempatan Bungoro, Pangkajene, Sulawesi Selatan pada (16/2/2025).  Seorang pemerhati transportasi dan hukum, Budiyanto, mengatakan sarana dan prasarana lalu lintas seperti APILL berada pada rahan tanggung jawab dinas perhubungan. “Terkait nyala lampu lompat, dari hijau ke merah, perlu diteliti kembali apakah memang ada masalah sistem atau dalam kendali petugas,” ucap Budiyanto kepada Kompas.com, Selasa (11/3/2025). Budiyanto mengatakan, transisi nyala lampu APILL diatur dalam Peraturan Menteri Perhubungan nomor 49 tahun 2014 tentang Alat Pemberi Isyarat Lalu Lintas.    Berdasarkan pasal 6 ayat 4 pada peraturan tersebut, disebutkan bahwa lampu berwarna kuning untuk memberikan peringatan bagi pengemudi, antara lain: Director Jakarta Defensive Driving Consulting (JDDC), Jusri Pulubuhu mengatakan sebagai langkah defensive, pengendara sebaiknya tidak buru-buru melaju saat lampu merah berganti.  “Pastikan tidak menjadi peserta pertama yang melaju saat lampu merah sudah berubah. Dia mengatakan perlu menunggu beberapa kendaraan dulu melaju, baru aman untuk ikut melaju,” ucap Jusri kepada Kompas.com, belum lama ini. Jusri mengatakan, tujuan melakukan antisipasi tersebut untuk menghindari pengguna jalan lain dari simpang berlawanan yang liar, atau masalah sistem APILL. “Masih sering dijumpai, lampu sudah merah tapi mereka masih menerobos, bila itu terjadi maka risikonya kecelakaan, nah untuk mengantisipasi perlu berhati-hati saat hendak melaju setelah lampu merah berganti,” ucap Jusri.  "
